,農林水産業,鉱業,製造業,卸売・小売業,サービス業
埼玉県,"118,692","7,714","4,593,902","2,254,796","3,451,408"
千葉県,"227,335","20,314","3,966,223","1,878,747","3,641,499"
東京都,"49,120","29,120","7,819,071","20,882,580","19,896,057"
神奈川県,"57,632","3,887","6,601,350","3,263,994","6,463,971"
新潟県,"176,409","85,392","1,863,253","1,031,484","1,581,018"
富山県,"47,378","8,972","1,371,110","481,205","742,897"
石川県,"46,821","6,645","1,048,813","569,590","904,320"
福井県,"33,397","2,724","699,049","327,282","582,347"
山梨県,"59,410","3,799","816,367","293,333","602,397"
長野県,"154,236","11,052","2,207,836","689,207","1,457,296"
岐阜県,"76,435","25,411","1,968,977","805,485","1,425,885"
静岡県,"169,316","7,218","6,229,272","1,231,831","2,577,523"
愛知県,"177,848","9,234","13,612,800","4,796,321","5,852,422"
三重県,"95,731","9,053","3,179,087","635,527","1,201,527"
滋賀県,"38,603","3,416","2,369,532","460,453","841,782"
京都府,"42,670","3,855","2,473,602","1,126,494","1,888,892"
大阪府,"37,287","2,313","6,200,191","7,339,455","8,351,891"
兵庫県,"98,814","20,499","4,655,076","2,101,612","3,658,347"
奈良県,"21,920",378,"702,940","320,107","787,483"
和歌山県,"76,567","1,983","1,026,253","318,230","603,967"
鳥取県,"44,086","1,424","342,760","207,377","376,278"
島根県,"44,974","5,591","367,037","217,125","440,419"
岡山県,"67,918","8,680","2,352,288","811,103","1,306,229"
広島県,"79,037","4,179","3,061,549","1,776,424","2,074,306"
山口県,"53,686","9,446","1,868,908","540,825","974,974"
徳島県,"60,387","2,292","669,052","260,464","516,517"
香川県,"52,267","5,393","792,570","493,514","763,723"
愛媛県,"101,936","5,811","1,047,194","545,274","930,326"
高知県,"88,235","7,483","199,686","256,170","523,680"
福岡県,"139,995","24,075","2,815,646","2,644,875","3,953,821"
佐賀県,"78,904","3,464","673,289","237,325","513,452"
長崎県,"117,722","5,698","595,775","465,894","973,667"
熊本県,"175,217","5,733","984,314","605,237","1,194,713"
大分県,"95,376","14,799","1,061,813","387,982","816,690"
宮崎県,"161,542","2,912","484,910","396,278","768,758"
鹿児島県,"194,412","22,231","804,546","599,080","1,154,014"
沖縄県,"68,224","8,295","162,573","387,039","975,753"
北海道,"732,381","33,533","1,746,887","2,540,621","3,732,247"
青森県,"182,775","13,930","764,406","527,763","853,107"
岩手県,"163,025","5,649","767,947","500,446","789,304"
宮城県,"140,926","3,959","1,163,325","1,328,846","1,597,700"
秋田県,"117,936","12,254","549,485","397,142","710,907"
山形県,"130,421","5,273","896,687","423,135","674,867"
福島県,"140,008","6,754","2,130,209","697,570","1,362,642"
茨城県,"238,990","9,751","3,601,028","1,018,877","1,889,856"
栃木県,"148,650","20,428","2,941,083","780,192","1,372,771"
群馬県,"112,494","3,499","2,439,580","808,460","1,313,041"
埼玉県,"117,815","7,516","4,777,791","2,230,937","3,485,272"
千葉県,"228,112","17,973","3,773,598","1,922,453","3,599,061"
東京都,"49,018","26,798","7,793,458","21,655,576","19,135,079"
神奈川県,"57,483","3,836","6,779,282","3,162,972","6,241,422"
新潟県,"190,343","69,860","1,825,033","1,016,188","1,589,362"
富山県,"54,539","7,490","1,352,042","492,763","736,091"
石川県,"51,506","5,786","977,709","579,996","890,085"
福井県,"36,418","3,485","685,227","337,764","551,201"
山梨県,"59,796","3,812","808,060","295,776","589,217"
長野県,"159,103","9,789","2,126,625","718,861","1,460,014"
岐阜県,"81,078","23,729","1,964,766","801,969","1,399,837"
静岡県,"175,274","9,337","6,225,731","1,386,607","2,550,107"
愛知県,"181,495","9,075","12,988,933","4,855,474","5,666,707"
三重県,"97,858","8,211","2,979,744","590,369","1,193,357"
滋賀県,"42,173","3,464","2,387,630","456,886","810,374"
京都府,"44,281","3,803","2,279,748","1,163,836","1,814,009"
大阪府,"37,184","2,536","5,931,193","7,424,763","8,027,130"
兵庫県,"97,506","22,400","4,956,642","2,051,524","3,569,605"
奈良県,"21,993",481,"710,907","336,794","767,171"
和歌山県,"84,006","2,704","1,110,030","333,604","583,128"
鳥取県,"44,767","2,350","383,871","218,810","372,808"
島根県,"48,063","5,387","339,081","223,630","435,766"
岡山県,"71,801","10,224","2,584,673","833,626","1,233,548"
広島県,"84,107","5,028","2,853,335","1,614,731","2,002,524"
山口県,"51,779","11,680","1,834,470","536,572","936,218"
徳島県,"67,112","1,858","682,215","260,254","488,738"
香川県,"54,712","6,038","758,957","506,647","724,216"
愛媛県,"118,895","7,552","1,136,504","535,305","890,318"
高知県,"96,669","7,713","237,614","259,531","500,813"
福岡県,"138,947","24,189","2,710,218","2,760,470","3,808,465"
佐賀県,"77,766","3,482","586,228","258,100","496,059"
長崎県,"115,331","6,251","569,704","476,282","939,851"
熊本県,"170,890","6,494","966,282","591,751","1,161,823"
大分県,"93,821","14,819","1,077,379","394,304","797,598"
宮崎県,"168,577","3,751","441,027","406,387","747,729"
鹿児島県,"197,411","19,173","739,287","626,196","1,116,804"
沖縄県,"69,006","8,003","156,225","393,319","941,945"
北海道,"726,316","35,406","1,767,714","2,855,932","3,724,786"
青森県,"175,940","13,942","402,157","573,079","865,703"
岩手県,"159,396","5,249","756,782","504,098","790,632"
